City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,coquimbo,-29.9533,-71.3436,13.85,100,100,2.57,CL,1713914913
195,grand rapids,42.9634,-85.6681,15.97,72,75,5.14,US,1713914624
196,esmeraldas,-19.7625,-44.3139,25.41,69,59,1.46,BR,1713915078
197,vadso,70.0744,29.7487,0.09,80,100,5.66,NO,1713915079
198,san fernando,15.0286,120.6898,28.85,65,4,2.18,PH,1713915060
199,awjilah,29.1081,21.2869,17.47,75,95,8.82,LY,1713915079
200,nova xavantina,-14.6667,-52.35,24.67,77,2,0.86,BR,1713914954
201,saldanha,-33.0117,17.9442,15.03,95,100,2.85,ZA,1713915080
202,rongelap,11.1635,166.8941,27.3,86,78,8.81,MH,1713915080
203,el calafate,-50.3408,-72.2768,5.47,77,100,2.38,AR,1713915082
204,tromso,69.6496,18.957,-0.99,86,75,3.09,NO,1713914785
205,itoman,26.1247,127.6694,25.22,96,75,2.57,JP,1713915085
206,deming,32.2687,-107.7586,30.94,10,0,6.69,US,1713915063
207,sault ste. marie,46.5168,-84.3333,8.31,83,75,4.63,CA,1713915085
208,harlingen,26.1906,-97.6961,27.25,84,100,8.23,US,1713914814
209,camiri,-20.05,-63.5167,25.81,73,100,1.5,BO,1713915090
210,saurimo,-9.6608,20.3916,19.11,93,93,1.68,AO,1713915091
211,strezhevoy,60.7333,77.5889,-11.69,93,33,3.13,RU,1713915091
212,bodaybo,57.8506,114.1933,1.78,92,100,1.22,RU,1713915091
213,kodiak,57.79,-152.4072,5.73,100,100,3.6,US,1713915159
214,udachny,66.4167,112.4,-4.75,95,99,7.38,RU,1713915159
215,ilulissat,69.2167,-51.1,7.01,65,45,2.57,GL,1713915162
216,la ronge,55.1001,-105.2842,16.12,20,20,7.72,CA,1713914890
217,xining,36.6167,101.7667,9.77,38,31,1.41,CN,1713915165
218,panadura,6.7132,79.9026,27.18,83,98,2.08,LK,1713915166
219,turpan,42.9333,89.1667,24.88,12,55,1.77,CN,1713915000
220,hotan,37.0997,79.9269,17.18,17,91,3.52,CN,1713915168
221,chibougamau,49.9168,-74.3659,-2.21,100,100,3.09,CA,1713914997
222,kapuskasing,49.4169,-82.4331,-2.95,59,75,8.23,CA,1713915169
223,karratha,-20.7377,116.8463,24.45,30,62,8.51,AU,1713915172
224,pokhara,28.2333,83.9833,19.0,25,0,3.46,NP,1713915173
225,zhezqazghan,47.7833,67.7667,16.0,30,100,3.87,KZ,1713915173
226,dapa,9.7594,126.0531,28.19,76,85,5.11,PH,1713915175
227,severo-yeniseyskiy,60.3725,93.0408,-2.46,91,100,3.58,RU,1713915175
228,nan,18.8333,100.6667,25.01,83,10,0.0,TH,1713915176
229,astrakhan,46.3497,48.0408,10.93,71,0,3.0,RU,1713915175
230,muynoq,43.7683,59.0214,19.42,53,74,5.74,UZ,1713915178
231,geneseo,42.7959,-77.8169,15.58,63,100,2.68,US,1713915178
232,georgetown,5.4112,100.3354,27.96,85,20,1.03,MY,1713915014
233,nenjiang,49.1833,125.2167,10.94,67,67,5.2,CN,1713915179
234,kourou,5.1552,-52.6478,28.03,80,32,3.66,GF,1713915058
235,rio gallegos,-51.6226,-69.2181,8.03,76,40,2.06,AR,1713915070
236,qui nhon,13.7667,109.2333,27.53,77,92,0.71,VN,1713915181
237,kadoma,34.7333,135.5833,20.36,65,75,6.69,JP,1713915184
238,flin flon,54.7682,-101.865,6.91,39,0,3.09,CA,1713915184
239,college,64.8569,-147.8028,12.18,42,40,2.57,US,1713915184
240,qamdo,31.1667,97.2333,1.42,78,100,3.15,CN,1713915188
241,praia da vitoria,38.7333,-27.0667,16.14,88,75,4.96,PT,1713915189
242,gagliano del capo,39.8442,18.3695,12.68,67,0,6.17,IT,1713915189
243,iwanai,42.9744,140.5089,9.83,68,100,4.4,JP,1713915191
244,kavaratti,10.5669,72.642,29.63,67,62,2.7,IN,1713915192
245,santyoku,37.4406,129.1708,10.23,92,100,3.74,KR,1713915195
246,lebu,-37.6167,-73.65,10.11,73,34,2.06,CL,1713915198
247,kristiansund,63.1115,7.732,4.36,60,100,3.6,NO,1713915200
248,narasannapeta,18.4167,84.05,28.47,78,67,3.18,IN,1713915201
249,nadym,65.5333,72.5167,-17.8,98,73,4.04,RU,1713915202
250,koulikoro,14.0,-7.75,33.1,12,23,2.36,ML,1713915202
251,bardai,11.65,7.2333,30.45,34,100,1.98,NG,1713915202
252,tari,12.4086,4.4914,33.56,34,85,4.19,NG,1713915203
253,bonthe,7.5264,-12.505,27.05,81,15,2.36,SL,1713915203
254,yangiyer,40.275,68.8225,20.78,33,12,1.46,UZ,1713915203
255,rivne,50.6231,26.2274,10.04,89,100,5.56,UA,1713915205
256,graaff-reinet,-32.2522,24.5308,16.51,63,54,0.47,ZA,1713915209
257,beli,7.8587,10.9719,27.3,61,96,1.23,NG,1713915211
258,paita,-5.0892,-81.1144,22.13,84,97,5.81,PE,1713915213
259,morehead city,34.7229,-76.726,17.01,53,0,4.12,US,1713914984
260,metro,-5.1131,105.3067,24.96,92,100,1.08,ID,1713915213
261,leava,-14.3,-178.1667,29.06,74,24,1.35,WF,1713915214
262,pitimbu,-7.4706,-34.8086,28.33,80,99,3.91,BR,1713915214
263,biloela,-24.4167,150.5,24.36,58,0,4.52,AU,1713915214
264,kendari,-3.945,122.4989,26.34,87,39,0.3,ID,1713914961
265,yurga,55.7231,84.8861,-7.28,65,90,4.18,RU,1713915219
266,moissala,8.3404,17.7663,29.28,47,96,2.39,TD,1713915222
267,dickinson,29.4608,-95.0513,24.05,78,100,6.69,US,1713915222
268,heihe,50.2441,127.4902,9.32,75,100,3.21,CN,1713915225
